Borough,MajorText,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aviation Security(SO18),Arson and Criminal Damage,80,67,82,71,68,58,54,68,51
Aviation Security(SO18),Burglary,6,15,15,14,14,26,20,32,9
Aviation Security(SO18),Drug Offences,102,93,56,80,80,77,62,78,49
Aviation Security(SO18),Historical Fraud and Forgery,96,9,0,0,0,0,0,0,0
Aviation Security(SO18),Miscellaneous Crimes Against Society,304,248,693,1017,1191,1337,1181,1221,488
Aviation Security(SO18),Possession of Weapons,166,127,267,21,21,32,29,35,16
Aviation Security(SO18),Public Order Offences,110,81,114,113,137,114,130,146,90
Aviation Security(SO18),Robbery,2,3,6,2,3,1,4,5,2
Aviation Security(SO18),Sexual Offences,34,26,17,23,26,27,45,49,24
Aviation Security(SO18),Theft,1730,1612,1562,1416,1365,1557,1460,1486,731
Aviation Security(SO18),Vehicle Offences,130,87,113,82,127,167,99,174,114
Aviation Security(SO18),Violence Against the Person,189,166,160,183,229,249,269,279,140
Barking and Dagenham,Arson and Criminal Damage,1912,1602,1618,1755,1890,1709,1450,1503,1436
Barking and Dagenham,Burglary,2690,2243,1910,1632,1294,1593,1672,1547,1333
Barking and Dagenham,Drug Offences,1295,1278,1064,1194,1151,786,939,1164,1796
Barking and Dagenham,Historical Fraud and Forgery,787,63,0,0,0,0,0,0,0
Barking and Dagenham,Miscellaneous Crimes Against Society,218,205,251,268,263,267,273,309,404
Barking and Dagenham,Possession of Weapons,117,78,69,93,156,166,203,162,218
Barking and Dagenham,Public Order Offences,662,613,781,952,944,1048,948,1168,1271
Barking and Dagenham,Robbery,867,539,499,573,552,878,825,1080,787
Barking and Dagenham,Sexual Offences,330,289,359,449,466,491,551,664,622
Barking and Dagenham,Theft,4205,3421,3301,3328,3473,3654,3299,3671,3403
Barking and Dagenham,Vehicle Offences,2870,2753,2000,1870,2249,2768,2595,2764,2526
Barking and Dagenham,Violence Against the Person,4395,3453,4378,5077,5339,5334,5554,6167,6965
Barnet,Arson and Criminal Damage,2274,1849,2042,2201,2145,2077,1926,2132,2068
Barnet,Burglary,5266,4274,3619,3855,3410,3548,3693,3624,3025
Barnet,Drug Offences,1154,1047,1034,821,931,800,710,875,1310
Barnet,Historical Fraud and Forgery,1518,150,0,0,0,0,0,0,0
Barnet,Miscellaneous Crimes Against Society,326,317,288,310,357,288,389,371,381
Barnet,Possession of Weapons,102,100,101,111,160,194,188,175,182
Barnet,Public Order Offences,948,743,1102,1330,1558,1730,1604,1805,1952
Barnet,Robbery,1259,800,562,622,469,646,756,1300,972
Barnet,Sexual Offences,393,351,404,444,541,644,635,559,592
Barnet,Theft,7328,5870,5663,5648,6321,6779,6465,6766,5513
Barnet,Vehicle Offences,4836,4086,3437,3596,3683,3960,5310,6635,5543
Barnet,Violence Against the Person,4584,3632,4784,5688,6152,6336,6622,7375,8050
