Area,Year,Avg_house_price
Barking & Dagenham,2012,170496.5
Barking & Dagenham,2013,178586.0
Barking & Dagenham,2014,206790.75
Barking & Dagenham,2015,239980.58333333334
Barking & Dagenham,2016,281570.1666666667
Barking & Dagenham,2017,295771.0
Barking & Dagenham,2018,303429.5
Barking & Dagenham,2019,306536.0
Barking & Dagenham,2020,309238.4166666667
Barnet,2012,380399.0
Barnet,2013,397522.25
Barnet,2014,456489.9166666667
Barnet,2015,507748.25
Barnet,2016,557868.3333333334
Barnet,2017,570959.0
Barnet,2018,565586.6666666666
Barnet,2019,552940.0833333334
Barnet,2020,557674.9166666666
Bexley,2012,202540.75
Bexley,2013,213464.41666666666
Bexley,2014,244452.58333333334
Bexley,2015,274201.6666666667
Bexley,2016,321554.8333333333
Bexley,2017,335685.0833333333
Bexley,2018,342663.1666666667
Bexley,2019,336863.0833333333
Bexley,2020,343316.9166666667
Brent,2012,338662.25
Brent,2013,366201.25
Brent,2014,425534.25
Brent,2015,475414.1666666667
Brent,2016,527723.8333333334
Brent,2017,525820.1666666666
Brent,2018,531462.4166666666
Brent,2019,511690.0
Brent,2020,525795.9166666666
Bromley,2012,286895.5
Bromley,2013,301792.3333333333
Bromley,2014,353864.6666666667
Bromley,2015,392341.9166666667
Bromley,2016,435399.5833333333
Bromley,2017,448838.1666666667
Bromley,2018,451074.0833333333
Bromley,2019,443762.1666666667
Bromley,2020,442561.0
Camden,2012,580554.25
Camden,2013,661057.6666666666
Camden,2014,749244.1666666666
Camden,2015,779902.25
Camden,2016,799391.8333333334
Camden,2017,831311.8333333334
Camden,2018,834124.1666666666
Camden,2019,840037.5
Camden,2020,825589.6666666666
City of London,2012,518999.5
City of London,2013,563142.3333333334
City of London,2014,700840.25
City of London,2015,751095.0833333334
City of London,2016,808458.1666666666
City of London,2017,839508.9166666666
City of London,2018,775501.75
City of London,2019,786793.5
City of London,2020,818156.5833333334
Croydon,2012,224895.16666666666
Croydon,2013,237693.08333333334
Croydon,2014,278641.1666666667
Croydon,2015,311325.0833333333
Croydon,2016,360784.75
Croydon,2017,377724.3333333333
Croydon,2018,375426.75
Croydon,2019,371015.1666666667
Croydon,2020,379844.9166666667
EAST MIDLANDS,2012,133491.66666666666
EAST MIDLANDS,2013,136368.08333333334
EAST MIDLANDS,2014,145584.33333333334
EAST MIDLANDS,2015,153653.83333333334
EAST MIDLANDS,2016,163698.0
EAST MIDLANDS,2017,173556.0
EAST MIDLANDS,2018,182655.33333333334
EAST MIDLANDS,2019,185853.33333333334
EAST MIDLANDS,2020,192310.66666666666
EAST OF ENGLAND,2012,191567.66666666666
EAST OF ENGLAND,2013,197269.75
EAST OF ENGLAND,2014,216116.83333333334
EAST OF ENGLAND,2015,237207.16666666666
EAST OF ENGLAND,2016,263718.5833333333
EAST OF ENGLAND,2017,280397.3333333333
EAST OF ENGLAND,2018,287488.9166666667
EAST OF ENGLAND,2019,286451.3333333333
EAST OF ENGLAND,2020,291010.1666666667
Ealing,2012,340971.1666666667
Ealing,2013,361717.5833333333
Ealing,2014,427997.6666666667
Ealing,2015,468943.5
Ealing,2016,509738.75
Ealing,2017,518459.75
Ealing,2018,513639.0833333333
Ealing,2019,505143.1666666667
Ealing,2020,513270.9166666667
Enfield,2012,263047.9166666667
Enfield,2013,277850.75
Enfield,2014,312806.0833333333
Enfield,2015,356339.25
Enfield,2016,409429.8333333333
Enfield,2017,420517.4166666667
Enfield,2018,421192.3333333333
Enfield,2019,416810.5
Enfield,2020,421409.25
England,2012,167572.66666666666
England,2013,172381.5
England,2014,186722.5
England,2015,199377.41666666666
England,2016,214636.66666666666
England,2017,224856.0
England,2018,231329.33333333334
England,2019,232856.5
England,2020,239383.33333333334
Greenwich,2012,250234.91666666666
Greenwich,2013,267571.5833333333
Greenwich,2014,315037.75
Greenwich,2015,350408.6666666667
Greenwich,2016,393584.4166666667
Greenwich,2017,413660.1666666667
Greenwich,2018,410109.6666666667
Greenwich,2019,415204.25
Greenwich,2020,419337.1666666667
Hackney,2012,336530.75
Hackney,2013,385306.9166666667
Hackney,2014,471865.5833333333
Hackney,2015,523985.6666666667
Hackney,2016,555982.5
Hackney,2017,567623.6666666666
Hackney,2018,563115.0
Hackney,2019,573727.5833333334
Hackney,2020,602660.5
Hammersmith & Fulham,2012,587333.0833333334
Hammersmith & Fulham,2013,654081.8333333334
Hammersmith & Fulham,2014,746851.1666666666
Hammersmith & Fulham,2015,788004.0833333334
Hammersmith & Fulham,2016,782062.8333333334
Hammersmith & Fulham,2017,783930.1666666666
Hammersmith & Fulham,2018,751642.0
Hammersmith & Fulham,2019,743428.0
Hammersmith & Fulham,2020,752941.0
Haringey,2012,365107.8333333333
Haringey,2013,400091.25
Haringey,2014,468423.1666666667
Haringey,2015,516606.5833333333
Haringey,2016,567167.5833333334
Haringey,2017,599015.25
Haringey,2018,592830.5833333334
Haringey,2019,587049.0833333334
Haringey,2020,598951.5833333334
Harrow,2012,311980.4166666667
Harrow,2013,326809.75
Harrow,2014,369168.4166666667
Harrow,2015,418086.5833333333
Harrow,2016,464394.75
Harrow,2017,481688.1666666667
Harrow,2018,476714.0833333333
Harrow,2019,459713.5
Harrow,2020,465963.75
Havering,2012,224795.5
Havering,2013,229692.0
Havering,2014,263003.5833333333
Havering,2015,296050.5833333333
Havering,2016,346729.9166666667
Havering,2017,365674.1666666667
Havering,2018,375640.0
Havering,2019,369890.4166666667
Havering,2020,374571.9166666667
Hillingdon,2012,267475.5
Hillingdon,2013,277865.5833333333
Hillingdon,2014,313998.3333333333
Hillingdon,2015,362226.5833333333
Hillingdon,2016,411560.8333333333
Hillingdon,2017,424699.6666666667
Hillingdon,2018,421291.0833333333
Hillingdon,2019,415215.5833333333
Hillingdon,2020,420906.8333333333
Hounslow,2012,304347.9166666667
Hounslow,2013,330038.75
Hounslow,2014,368597.8333333333
Hounslow,2015,399164.75
Hounslow,2016,438945.0833333333
Hounslow,2017,455349.0
Hounslow,2018,450570.6666666667
Hounslow,2019,456357.3333333333
Hounslow,2020,468878.1666666667
Inner London,2012,410627.6666666667
Inner London,2013,455234.4166666667
Inner London,2014,539888.9166666666
Inner London,2015,585817.0
Inner London,2016,627387.0
Inner London,2017,642599.0
Inner London,2018,633338.0
Inner London,2019,623380.9166666666
Inner London,2020,642898.75
Islington,2012,442379.3333333333
Islington,2013,496090.5
Islington,2014,585554.0833333334
Islington,2015,643568.5
Islington,2016,642557.1666666666
Islington,2017,650539.9166666666
Islington,2018,649957.6666666666
