,Area,Year,Population_per_hectare,Unemployment_rate,Workless Household Percentage,Youth_population,Avg_house_price,Population
0,Barking and Dagenham,2012,52.9,12.775,26.5,9.5,170496.5,190949.0
1,Barking and Dagenham,2013,53.9,14.125,11.2,9.3,178586.0,194741.0
2,Barking and Dagenham,2014,55.0,11.25,20.5,9.3,206790.75,198683.0
3,Barking and Dagenham,2015,56.0,10.2,13.7,9.2,239980.5833,202368.0
4,Barking and Dagenham,2016,57.3,8.7,15.6,9.0,281570.1667,206849.0
5,Barking and Dagenham,2017,58.3,7.2,13.7,8.9,295771.0,210513.0
6,Barking and Dagenham,2018,58.9,5.9,13.8,8.8,303429.5,212773.0
7,Barking and Dagenham,2019,59.5,5.9,14.7,8.7,306536.0,214858.0
8,Barking and Dagenham,2020,60.5,6.925,18.1,8.5,309238.4167,218367.0
9,Barnet,2012,42.0,9.025,17.3,8.7,380399.0,364071.0
10,Barnet,2013,42.6,6.875,12.4,8.7,397522.25,369203.0
11,Barnet,2014,43.2,6.6,10.8,8.7,456489.9167,375030.0
12,Barnet,2015,43.8,6.15,14.7,8.6,507748.25,379806.0
13,Barnet,2016,44.5,5.35,11.6,8.7,557868.3333,386198.0
14,Barnet,2017,45.1,5.0,10.7,8.4,570959.0,391446.0
15,Barnet,2018,45.8,4.7,7.3,8.3,565586.6667,397049.0
16,Barnet,2019,46.4,4.65,9.4,8.1,552940.0833,402363.0
17,Barnet,2020,46.9,4.525,12.3,7.9,557674.9167,407148.0
18,Bexley,2012,38.7,7.875,13.6,9.2,202540.75,234499.0
19,Bexley,2013,39.1,8.075,14.3,8.9,213464.4167,236915.0
20,Bexley,2014,39.6,6.375,12.3,8.7,244452.5833,240093.0
21,Bexley,2015,40.0,6.225,12.1,8.4,274201.6667,242370.0
22,Bexley,2016,40.4,5.05,11.8,8.2,321554.8333,244988.0
23,Bexley,2017,40.8,4.7,12.1,7.9,335685.0833,247179.0
24,Bexley,2018,41.3,4.0,10.4,7.8,342663.1667,249999.0
25,Bexley,2019,41.7,4.25,14.3,7.6,336863.0833,252885.0
26,Bexley,2020,42.1,4.45,13.9,7.5,343316.9167,254970.0
27,Brent,2012,73.0,10.35,15.1,10.0,338662.25,315499.0
28,Brent,2013,73.6,10.425,10.7,10.1,366201.25,318103.0
29,Brent,2014,74.4,8.325,12.0,10.1,425534.25,321601.0
30,Brent,2015,75.1,6.8,13.0,10.1,475414.1667,324851.0
31,Brent,2016,76.1,7.7,10.8,10.1,527723.8333,329093.0
32,Brent,2017,77.0,6.6,12.9,10.2,525820.1667,332750.0
33,Brent,2018,77.9,5.3,8.6,10.2,531462.4167,336859.0
34,Brent,2019,78.8,4.7,9.9,10.2,511690.0,340710.0
35,Brent,2020,79.5,6.075,10.4,9.7,525795.9167,343853.0
36,Bromley,2012,21.0,6.625,14.2,7.4,286895.5,314592.0
37,Bromley,2013,21.2,6.4,21.6,7.3,301792.3333,318455.0
38,Bromley,2014,21.4,5.55,14.8,7.0,353864.6667,321834.0
39,Bromley,2015,21.7,5.15,12.4,7.2,392341.9167,325413.0
40,Bromley,2016,21.8,5.0,10.6,6.7,435399.5833,327445.0
41,Bromley,2017,22.0,3.9,8.2,6.5,448838.1667,330909.0
42,Bromley,2018,22.2,4.2,10.4,6.3,451074.0833,332733.0
43,Bromley,2019,22.3,3.5,8.3,6.3,443762.1667,334292.0
44,Bromley,2020,22.4,4.125,11.9,6.2,442561.0,336395.0
45,Camden,2012,103.2,8.25,22.2,12.9,580554.25,224961.0
46,Camden,2013,105.4,8.275,11.8,13.3,661057.6667,229718.0
47,Camden,2014,107.8,6.8,19.1,13.3,749244.1667,234845.0
48,Camden,2015,110.6,6.025,21.4,13.3,779902.25,241058.0
49,Camden,2016,113.0,5.6,18.0,13.2,799391.8333,246180.0
50,Camden,2017,114.5,5.3,18.9,13.1,831311.8333,249556.0
51,Camden,2018,115.9,4.5,18.2,13.2,834124.1667,252637.0
52,Camden,2019,117.3,4.6,17.9,13.1,840037.5,255526.0
53,Camden,2020,118.1,4.375,15.3,12.8,825589.6667,257384.0
54,City of London,2012,24.8,,,9.3,518999.5,7204.0
55,City of London,2013,23.6,,21.7,10.4,563142.3333,6848.0
56,City of London,2014,23.7,,,10.4,700840.25,6872.0
57,City of London,2015,24.7,,,11.6,751095.0833,7160.0
58,City of London,2016,25.5,,,12.4,808458.1667,7401.0
59,City of London,2017,25.5,,29.8,12.1,839508.9167,7405.0
60,City of London,2018,26.5,,,12.7,775501.75,7681.0
61,City of London,2019,27.4,,,13.9,786793.5,7953.0
62,City of London,2020,27.7,,,11.6,818156.5833,8046.0
63,Croydon,2012,42.6,10.55,15.2,8.7,224895.1667,368886.0
64,Croydon,2013,43.1,9.275,15.9,8.7,237693.0833,372752.0
65,Croydon,2014,43.5,8.0,15.7,8.6,278641.1667,376040.0
66,Croydon,2015,43.8,5.95,11.4,8.3,311325.0833,379031.0
67,Croydon,2016,44.2,5.5,10.7,8.0,360784.75,382304.0
68,Croydon,2017,44.7,5.9,13.6,7.8,377724.3333,386346.0
69,Croydon,2018,45.2,5.0,13.8,7.7,375426.75,391296.0
70,Croydon,2019,45.8,5.2,7.7,7.7,371015.1667,396548.0
71,Croydon,2020,46.3,5.2,9.3,7.5,379844.9167,400272.0
